fid,id,left,top,right,bottom,row_index,col_index,temperature,ghi
13857,19904,30.7432218382953,64.75,32.4752726458642,63.25,17,163,3,2
13858,19905,30.7432218382953,63.25,32.4752726458642,61.75,18,163,4,2
11990,17223,2.16438351340884,60.25,3.89643432097771,58.75,20,141,9,2
11989,17222,2.16438351340884,61.75,3.89643432097771,60.25,19,141,9,2
11988,17221,2.16438351340884,63.25,3.89643432097771,61.75,18,141,8,2
12075,17346,3.46342161908549,59.5,5.19547242665437,58,21,142,9,2
12072,17343,3.46342161908549,64,5.19547242665437,62.5,18,142,8,2
12074,17345,3.46342161908549,61,5.19547242665437,59.5,20,142,9,2
12073,17344,3.46342161908549,62.5,5.19547242665437,61,19,142,8,2
12158,17465,4.76245972476215,63.25,6.49451053233103,61.75,18,143,3,2
12160,17467,4.76245972476215,60.25,6.49451053233103,58.75,20,143,0,2
12159,17466,4.76245972476215,61.75,6.49451053233103,60.25,19,143,0,2
12244,17589,6.06149783043881,61,7.79354863800769,59.5,20,144,0,2
12241,17586,6.06149783043881,65.5,7.79354863800769,64,17,144,8,2
12242,17587,6.06149783043881,64,7.79354863800769,62.5,18,144,8,2
12243,17588,6.06149783043881,62.5,7.79354863800769,61,19,144,3,2
12329,17710,7.36053593611547,61.75,9.09258674368435,60.25,19,145,0,2
12328,17709,7.36053593611547,63.25,9.09258674368435,61.75,18,145,0,2
12327,17708,7.36053593611547,64.75,9.09258674368435,63.25,17,145,7,2
12326,17707,7.36053593611547,66.25,9.09258674368435,64.75,16,145,7,2
12411,17830,8.65957404179213,65.5,10.391624849361,64,17,146,5,2
12412,17831,8.65957404179213,64,10.391624849361,62.5,18,146,5,2
12413,17832,8.65957404179213,62.5,10.391624849361,61,19,146,1,2
12414,17833,8.65957404179213,61,10.391624849361,59.5,20,146,6,2
12496,17951,9.95861214746878,66.25,11.6906629550377,64.75,16,147,5,2
12497,17952,9.95861214746878,64.75,11.6906629550377,63.25,17,147,5,2
12498,17953,9.95861214746878,63.25,11.6906629550377,61.75,18,147,1,2
12499,17954,9.95861214746878,61.75,11.6906629550377,60.25,19,147,6,2
12584,18077,11.2576502531454,61,12.9897010607143,59.5,20,148,6,2
12583,18076,11.2576502531454,62.5,12.9897010607143,61,19,148,2,2
12582,18075,11.2576502531454,64,12.9897010607143,62.5,18,148,2,2
12581,18074,11.2576502531454,65.5,12.9897010607143,64,17,148,2,2
12667,18196,12.5566883588221,64.75,14.288739166391,63.25,17,149,2,2
12669,18198,12.5566883588221,61.75,14.288739166391,60.25,19,149,5,2
12668,18197,12.5566883588221,63.25,14.288739166391,61.75,18,149,4,2
12666,18195,12.5566883588221,66.25,14.288739166391,64.75,16,149,2,2
12752,18319,13.8557264644988,64,15.5877772720676,62.5,18,150,2,2
12754,18321,13.8557264644988,61,15.5877772720676,59.5,20,150,5,2
12753,18320,13.8557264644988,62.5,15.5877772720676,61,19,150,4,2
12751,18318,13.8557264644988,65.5,15.5877772720676,64,17,150,2,2
12839,18442,15.1547645701754,61.75,16.8868153777443,60.25,19,151,6,2
12837,18440,15.1547645701754,64.75,16.8868153777443,63.25,17,151,3,2
12838,18441,15.1547645701754,63.25,16.8868153777443,61.75,18,151,5,2
12836,18439,15.1547645701754,66.25,16.8868153777443,64.75,16,151,3,2
12922,18563,16.4538026758521,64,18.185853483421,62.5,18,152,3,2
12924,18565,16.4538026758521,61,18.185853483421,59.5,20,152,7,2
12923,18564,16.4538026758521,62.5,18.185853483421,61,19,152,6,2
12921,18562,16.4538026758521,65.5,18.185853483421,64,17,152,3,2
13008,18685,17.7528407815287,63.25,19.4848915890976,61.75,18,153,6,2
13007,18684,17.7528407815287,64.75,19.4848915890976,63.25,17,153,3,2
13006,18683,17.7528407815287,66.25,19.4848915890976,64.75,16,153,3,2
13265,19054,21.6499550985587,59.5,23.3820059061276,58,21,156,7,0
13264,19053,21.6499550985587,61,23.3820059061276,59.5,20,156,6,0
13350,19175,22.9489932042354,60.25,24.6810440118042,58.75,20,157,6,0
